stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
FAS4_ME_new_14,598,2051.036948414716,1226520.0951520002,1226520.0951520002,1.2265200951520001,1.2265200951520001
PR12_ME_06,711,1720.8990971364278,1223559.2580640002,1223559.2580640002,1.2235592580640002,1.2235592580640002
FAS6_ME_new_13,548,2229.7301461021902,1221892.1200640001,1221892.1200640004,1.2218921200640003,1.221892120064
PR20_ME_15,459,2635.382805882353,1209640.7079,1209640.7079,1.2096407079,1.2096407079
FAS20_ME_04,591,2044.3681699898482,1208221.5884640003,1208221.5884640003,1.2082215884640002,1.2082215884640002
PR5_ME_22,613,1952.5274059380101,1196899.2998400002,1196899.2998400002,1.1968992998400003,1.1968992998400003
FAS19_ME_07,608,1967.6619529342104,1196338.4673839998,1196338.4673839998,1.1963384673839998,1.1963384673839998
PR16_ME_15,624,1912.1597144615387,1193187.661824,1193187.661824,1.193187661824,1.193187661824
FAS4_ME_new_05,498,2392.349725333334,1191390.1632160002,1191390.1632160002,1.1913901632160002,1.1913901632160002
PR6_ME_12,597,1975.76258958794,1179530.2659840002,1179530.2659840002,1.1795302659840001,1.1795302659840001
PR14_ME_11,468,2508.6906173333336,1174067.208912,1174067.208912,1.1740672089120001,1.1740672089120001
PR5_ME_27,654,1792.0881284892969,1172025.6360320002,1172025.6360320002,1.1720256360320003,1.1720256360320003
FAS24_ME_14,395,2942.4517257189877,1162268.4316590002,1162268.4316590002,1.1622684316590002,1.1622684316590002
FAS16_ME_04,412,2815.5209233009714,1159994.6204000001,1159994.6204000001,1.1599946204000002,1.1599946204000002
PR13_ME_16,589,1962.2427140237694,1155760.9585600002,1155760.9585600002,1.1557609585600002,1.1557609585600002
FAS24_ME_28,438,2609.740091260274,1143066.159972,1143066.159972,1.143066159972,1.143066159972
FAS20_ME_23,674,1695.3952470504453,1142696.3965120001,1142696.3965120001,1.142696396512,1.142696396512
PR5_ME_36,549,2080.2336522258656,1142048.2750720002,1142048.2750720002,1.1420482750720002,1.1420482750720002
FAS23_ME_15,571,1998.0117018616463,1140864.681763,1140864.681763,1.1408646817630002,1.1408646817630002
PR13_ME_08,453,2511.9606127682123,1137918.1575840001,1137918.1575840001,1.137918157584,1.137918157584
FAS19_ME_06,634,1794.442147015773,1137676.321208,1137676.321208,1.1376763212079999,1.1376763212079999
PR13_ME_04,464,2439.924656,1132125.0403840002,1132125.0403840002,1.1321250403840002,1.1321250403840002
FAS20_ME_24,707,1592.246482489392,1125718.2631200003,1125718.2631200003,1.1257182631200002,1.1257182631200002
PR11_ME_23,524,2143.576282870229,1123233.9722240001,1123233.9722240001,1.1232339722240001,1.1232339722240001
FAS23_ME_12,488,2287.093650307377,1116101.70135,1116101.70135,1.11610170135,1.11610170135
PR6_ME_14,647,1724.1549572550236,1115528.2573440003,1115528.2573440003,1.1155282573440002,1.1155282573440002
FAS6_ME_new_10,527,2114.52571254649,1114355.0505120002,1114355.0505120002,1.1143550505120001,1.1143550505120001
FAS6_ME_new_27,572,1929.8679356643356,1103884.4592,1103884.4592,1.1038844592,1.1038844592
