stub,n_rois,mean_roi_area_nm2,summed_roi_area_nm2,total_fenestration_area_nm2,total_fenestration_area_um2,summed_roi_area_um2
PR10_ME_17,490,1556.1872822204082,762531.768288,762531.768288,0.7625317682880001,0.7625317682880001
FAS16_ME_08,552,1381.115106608696,762375.5388480001,762375.5388480001,0.7623755388480001,0.7623755388480001
PR17_ME_04,467,1629.2115029721629,760841.7718880001,760841.7718880001,0.7608417718880001,0.7608417718880001
PR1_ME_07,391,1939.9423529002559,758517.4599840001,758517.4599840001,0.7585174599840001,0.7585174599840001
PR13_ME_12,522,1445.8377563524905,754727.308816,754727.308816,0.754727308816,0.754727308816
FAS19_ME_15,546,1380.4449454065932,753722.9401919999,753722.9401919999,0.7537229401919999,0.7537229401919999
FAS6_ME_new_33,482,1561.3881311203318,752589.0791999999,752589.0791999999,0.7525890792,0.7525890792
PR17_ME_54,496,1515.64213125,751758.4970999999,751758.4970999999,0.7517584970999999,0.7517584970999999
PR10_ME_16,405,1852.5342432000002,750276.3684960001,750276.3684960001,0.7502763684960001,0.7502763684960001
PR9_ME_15,488,1533.8755389836065,748531.263024,748531.263024,0.748531263024,0.748531263024
PR17_ME_50,481,1555.1511137214136,748027.6856999999,748027.6856999999,0.7480276856999999,0.7480276856999999
FAS20_ME_29,509,1467.5530861139491,746984.5208320001,746984.5208320001,0.7469845208320001,0.7469845208320001
PR11_ME_12,420,1776.0516412952384,745941.6893440001,745941.6893440001,0.7459416893440001,0.7459416893440001
PR22_ME_26,454,1638.2017721585905,743743.6045600001,743743.6045600001,0.7437436045600001,0.7437436045600001
FAS16_ME_17,333,2226.5754434594596,741449.6226720001,741449.6226720001,0.7414496226720001,0.7414496226720001
PR17_ME_36,365,2025.8891580821917,739449.5427,739449.5427,0.7394495427,0.7394495427
PR5_ME_40,462,1590.6142679826842,734863.7918080001,734863.7918080001,0.7348637918080001,0.7348637918080001
PR5_ME_25,392,1873.4625634285717,734397.3248640001,734397.3248640001,0.7343973248640001,0.7343973248640001
PR6_ME_41,430,1706.0502026418608,733601.5871360002,733601.5871360002,0.7336015871360002,0.7336015871360002
FAS4_ME_new_08,446,1637.8621596053813,730486.523184,730486.523184,0.7304865231840001,0.7304865231840001
PR10_ME_14,494,1478.4207702995952,730339.860528,730339.860528,0.730339860528,0.730339860528
FAS4_ME_new_10,376,1937.6400082553196,728552.6431040001,728552.6431040001,0.7285526431040001,0.7285526431040001
FAS6_ME_new_05,444,1636.258398846847,726498.7290880001,726498.7290880001,0.7264987290880002,0.7264987290880002
FAS23_ME_07,378,1921.6250410714283,726374.2655249999,726374.2655249999,0.726374265525,0.726374265525
PR6_ME_31,376,1931.36434706383,726192.9944960001,726192.9944960001,0.7261929944960002,0.7261929944960002
PR12_ME_overview04,464,1563.7754440000003,725591.8060160001,725591.8060160001,0.7255918060160002,0.7255918060160002
