stub,total_fenestration_area_nm2,total_fenestration_area_um2,covered_area_nm2,covered_area_um2,porosity_fraction,porosity_percent
PR24_ME_06,570894.73672,0.57089473672,3398627.5268000006,3.3986275268000004,0.16797802413420973,16.797802413420975
FAS20_ME_29,746984.5208320001,0.7469845208320001,4468556.683888,4.468556683888001,0.167164606756664,16.7164606756664
PR5_ME_07,495936.67916800006,0.49593667916800005,2967209.9504000004,2.9672099504000005,0.1671390590683158,16.71390590683158
PR12_ME_overview05,820725.3688480001,0.8207253688480001,4912562.213152001,4.912562213152,0.16706666159885755,16.706666159885756
PR12_ME_05,820725.3688480001,0.8207253688480001,4912562.213152001,4.912562213152,0.16706666159885755,16.706666159885756
PR20_ME_17,662246.2557,0.6622462557,3974566.8222,3.9745668222,0.1666209892361135,16.66209892361135
FAS20_ME_27,1008231.7139840001,1.0082317139840002,6053178.021440001,6.053178021440001,0.16656237606310315,16.656237606310313
PR11_ME_12,745941.6893440001,0.7459416893440001,4480121.942016,4.480121942016,0.16650030936620788,16.650030936620787
PR22_ME_21,957030.5717280002,0.9570305717280002,5751466.054752001,5.751466054752001,0.16639767367439792,16.63976736743979
PR10_ME_19,678502.295712,0.6785022957119999,4077901.6526880004,4.077901652688,0.16638515430227618,16.638515430227617
FAS4_ME_new_08,730486.523184,0.7304865231840001,4408446.356160001,4.408446356160001,0.16570157923398074,16.570157923398074
PR13_ME_07,781334.7553440001,0.7813347553440001,4738020.17208,4.73802017208,0.16490743537737887,16.490743537737888
PR11_ME_20,435255.77932800003,0.435255779328,2643294.958592,2.643294958592,0.16466409770623824,16.466409770623823
PR17_ME_21,912823.3439999999,0.9128233439999999,5544789.090299999,5.544789090299999,0.16462724354960304,16.462724354960304
PR10_ME_07,589779.547056,0.589779547056,3585451.3971840004,3.5854513971840003,0.1644924116163478,16.44924116163478
PR6_ME_11,915070.9479680001,0.915070947968,5568572.6205440005,5.568572620544001,0.16432773895989988,16.43277389598999
PR6_ME_09,625724.2465280001,0.6257242465280001,3810829.1382400007,3.810829138240001,0.16419635303223948,16.41963530322395
FAS6_ME_new_11,618961.6595360001,0.6189616595360001,3774493.7917280006,3.7744937917280006,0.16398534311872145,16.398534311872144
FAS19_ME_16,400666.20505199995,0.40066620505199996,2444327.4558079997,2.4443274558079997,0.16391674695629324,16.391674695629323
PR10_ME_26,1368186.8138400002,1.3681868138400002,8354655.361888001,8.354655361888002,0.16376340549980684,16.376340549980682
FAS4_ME_new_18,952002.4835200001,0.9520024835200002,5822192.717264001,5.822192717264001,0.16351270556488393,16.35127055648839
PR6_ME_27,356435.6236800001,0.3564356236800001,2187702.5281280004,2.1877025281280003,0.16292691492430608,16.29269149243061
PR6_ME_48,833911.010244,0.833911010244,5127190.614,5.127190614,0.16264482306684142,16.26448230668414
PR12_ME_09,710840.9689920001,0.7108409689920001,4377664.320128,4.377664320128001,0.16237904896536598,16.237904896536598
PR10_ME_25,1303995.3322880003,1.3039953322880002,8040059.752736001,8.040059752736001,0.16218726880036627,16.218726880036627
FAS15_ME_04,975601.829072,0.975601829072,6024419.331216,6.024419331216,0.16194122212191353,16.194122212191353
PR5_ME_21,969976.8512000002,0.9699768512000001,6002963.102336001,6.002963102336,0.1615830107005892,16.15830107005892
PR9_ME_13,482032.50465599995,0.48203250465599995,2984236.121088,2.984236121088,0.1615262616954919,16.15262616954919
PR17_ME_08,574109.2404,0.5741092404,3559657.023,3.559657023,0.16128217878590828,16.128217878590828
PR13_ME_09,513651.8481120001,0.513651848112,3185410.2390240002,3.1854102390240002,0.16125139607430328,16.125139607430327
PR20_ME_13,1098696.7251,1.0986967251,6822741.7719,6.8227417719,0.16103448757581137,16.103448757581138
FAS23_ME_18,645839.6166,0.6458396166,4013521.583175,4.013521583175,0.1609159445678356,16.091594456783557
