stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
FAS24_ME_09,3.769,409390,786432,0.5205663045247396,52.05663045247396,5815532.739790001,5.815532739790001,549,9.440235737024231e-05,94.4023573702423,1695.9493285683063,931076.1813840001,0.9310761813840002,931076.1813840002,0.9310761813840003,0.16010161459732775,16.010161459732775
PR17_ME_06,3.69,176541,786432,0.22448348999023438,22.448348999023438,2403799.9101,2.4037999101,156,6.489724845422358e-05,64.89724845422357,2463.8158384615385,384355.2708,0.3843552708,384355.2708,0.3843552708,0.15989486861408964,15.989486861408963
PR17_ME_05,3.69,176541,786432,0.22448348999023438,22.448348999023438,2403799.9101,2.4037999101,156,6.489724845422358e-05,64.89724845422357,2463.8158384615385,384355.2708,0.3843552708,384355.2708,0.3843552708,0.15989486861408964,15.989486861408963
PR21_ME_07,3.69,440604,786432,0.5602569580078125,56.02569580078125,5999308.1244,5.9993081244,535,8.917694989261886e-05,89.17694989261886,1791.3188456074765,958355.5824,0.9583555824,958355.5824,0.9583555824,0.1597443509364418,15.974435093644178
PR5_ME_35,3.553,180538,786432,0.2295659383138021,22.95659383138021,2279077.229242,2.2790772292419996,204,8.950991102124632e-05,89.50991102124632,1780.14271325,363149.113503,0.363149113503,363149.113503,0.363149113503,0.1593404158681275,15.93404158681275
PR11_ME_14,3.616,423269,786432,0.538214365641276,53.8214365641276,5534435.185664,5.534435185664,513,9.269238554438907e-05,92.69238554438907,1718.007867883041,881338.036224,0.8813380362240001,881338.036224,0.8813380362240001,0.15924624765810869,15.924624765810869
PR5_ME_40,3.704,336475,786432,0.42785008748372394,42.78500874837239,4616307.7936,4.616307793600001,462,0.00010007998180721654,100.07998180721654,1590.6142679826842,734863.7918080001,0.7348637918080001,734863.7918080001,0.7348637918080001,0.15918864700200608,15.918864700200608
FAS6_ME_new_19,3.69,386417,786432,0.49135462443033856,49.13546244303386,5261492.5137,5.2614925137,655,0.00012448939123157457,124.48939123157456,1273.1781077862595,833931.6606,0.8339316605999999,833931.6606,0.8339316605999999,0.15849716756767945,15.849716756767945
FAS6_ME_new_28,3.69,314548,786432,0.3999684651692708,39.99684651692708,4282917.022799999,4.2829170227999995,439,0.00010250023469121505,102.50023469121506,1542.0931113895217,676978.8759,0.6769788758999999,676978.8759,0.6769788758999999,0.158064905833132,15.8064905833132
PR17_ME_38,3.69,402949,786432,0.5123761494954427,51.23761494954427,5486593.8789,5.4865938789,524,9.550551973878848e-05,95.50551973878848,1654.35615,866882.6226,0.8668826226,866882.6226,0.8668826226,0.15800014393881112,15.800014393881112
